,Customer ID,Customers with Similarity Score
0,C0001,"[('C0102', np.float64(0.9999999527987777)), ('C0120', np.float64(0.9999999483213668)), ('C0012', np.float64(0.9999999184641456))]"
1,C0002,"[('C0134', np.float64(0.9999997517115803)), ('C0034', np.float64(0.999999748270765)), ('C0088', np.float64(0.9999997415653932))]"
2,C0003,"[('C0136', np.float64(0.9999998622632613)), ('C0031', np.float64(0.9999998325155759)), ('C0113', np.float64(0.9999997960570688))]"
3,C0004,"[('C0169', np.float64(0.9999999775304766)), ('C0165', np.float64(0.9999999713088011)), ('C0175', np.float64(0.999999956609213))]"
4,C0005,"[('C0146', np.float64(0.9999999319874456)), ('C0007', np.float64(0.999999882727417)), ('C0028', np.float64(0.9999998324578916))]"
5,C0006,"[('C0171', np.float64(0.9999999949479038)), ('C0184', np.float64(0.9999999723630849)), ('C0082', np.float64(0.9999999691163179))]"
6,C0007,"[('C0146', np.float64(0.9999999226903571)), ('C0054', np.float64(0.9999999098700725)), ('C0005', np.float64(0.999999882727417))]"
7,C0008,"[('C0047', np.float64(0.9999998888852705)), ('C0098', np.float64(0.9999998696096729)), ('C0038', np.float64(0.9999998531495534))]"
8,C0009,"[('C0197', np.float64(0.9999992701461256)), ('C0103', np.float64(0.9999985041199906)), ('C0172', np.float64(0.9999981485032108))]"
9,C0010,"[('C0111', np.float64(0.9999993430995275)), ('C0091', np.float64(0.9999992851015111)), ('C0134', np.float64(0.9999991169766563))]"
10,C0011,"[('C0153', np.float64(0.9999999890640718)), ('C0192', np.float64(0.9999999813486363)), ('C0137', np.float64(0.9999999691826957))]"
11,C0012,"[('C0065', np.float64(0.9999999648923152)), ('C0153', np.float64(0.9999999554154687)), ('C0102', np.float64(0.9999999459373331))]"
12,C0013,"[('C0099', np.float64(0.9999999912817268)), ('C0187', np.float64(0.9999999739335947)), ('C0104', np.float64(0.9999999547631416))]"
13,C0014,"[('C0172', np.float64(0.999991207827861)), ('C0010', np.float64(0.9999910609862486)), ('C0025', np.float64(0.9999907633928223))]"
14,C0015,"[('C0131', np.float64(0.9999998502617976)), ('C0125', np.float64(0.9999996438967732)), ('C0036', np.float64(0.9999995583108976))]"
15,C0016,"[('C0042', np.float64(0.9999999706241736)), ('C0141', np.float64(0.9999998849282801)), ('C0023', np.float64(0.9999998788628311))]"
16,C0017,"[('C0124', np.float64(0.9999999485099622)), ('C0004', np.float64(0.9999999348356964)), ('C0175', np.float64(0.9999999343599253))]"
17,C0018,"[('C0041', np.float64(0.9999999592470505)), ('C0045', np.float64(0.9999999203428646)), ('C0068', np.float64(0.999999916277253))]"
18,C0019,"[('C0147', np.float64(0.9999997431900951)), ('C0172', np.float64(0.9999996717238575)), ('C0047', np.float64(0.9999996549482512))]"
19,C0020,"[('C0026', np.float64(0.9999993470201587)), ('C0185', np.float64(0.9999992817185934)), ('C0035', np.float64(0.9999992192895217))]"
